,partsID,L1,L2,Weather,Output
0,2,1.030890101,0.985632478,windy,5
1,2,0.762239832,1.0901099920000001,good,1
2,2,1.3473430569999998,1.044398639,good,1
3,2,1.2379272940000001,0.943657555,good,3
4,2,1.34736255,0.833798645,Hot,1
5,2,2.03687842,0.567667948,Hot,2
6,2,1.6626921119999998,0.591048083,rainy,1
7,2,1.167596179,0.946568418,Cold,4
8,2,1.281759155,0.7417988320000001,Hot,1
9,2,2.0224189519999998,0.537268939,Cold,5
10,2,1.394837631,0.646917979,good,3
11,2,0.593227235,1.670837926,Cold,6
12,2,0.559835095,1.914816953,good,1
13,2,1.843857246,0.627041415,windy,4
14,2,1.723547103,0.81104419,rainy,2
15,2,1.311659702,0.624650931,rainy,2
16,2,0.50782526,1.880210987,Hot,1
17,2,1.148979348,0.6976382320000001,good,1
18,2,0.803865662,1.09400067,Hot,3
19,2,0.7943812729999999,1.573928739,good,3
20,2,1.9675115090000002,0.789738002,Mild,2
21,2,1.579649425,0.708953753,good,2
22,2,1.40536973,0.5548612270000001,good,2
23,2,1.000520302,1.0719287709999998,good,1
24,2,2.925039835,0.37301174600000003,windy,2
25,2,1.0958865290000002,1.230723686,good,5
26,2,0.7574589,1.108820975,good,5
27,2,0.678440325,1.597898049,good,1
28,3,1.4876699530000002,0.964448533,lightrain,4
29,3,1.043671735,0.895081107,good,4
30,3,1.8344520819999999,0.9687335220000001,good,4
31,3,1.611902537,0.611515933,Mild,5
32,3,1.205516772,1.219300544,good,7
33,3,1.583091735,0.786342228,good,3
34,3,1.122307262,1.274384845,good,3
35,3,2.9874973810000003,0.493990744,good,1
36,3,1.12100409,1.006053437,good,2
37,3,0.598911273,2.045147553,good,4
38,3,2.59685189,0.690308075,rainy,7
39,4,1.29890456,1.103790427,good,4
40,4,1.302168016,1.358762271,good,1
41,4,2.163455799,0.842295455,Mild,1
42,4,2.223933751,0.565730509,good,5
43,4,1.4295381919999999,1.20761591,rainy,4
44,4,1.31070662,1.132538342,good,4
45,4,0.9159314040000001,0.934449858,good,2
46,4,1.222523125,1.42820249,good,5
47,4,1.7349219009999999,1.141875203,Cold,3
48,4,1.6580598530000001,0.939549403,good,4
49,4,1.562913979,0.9102450390000001,heavyrain,1
50,4,1.60791114,0.7999598259999999,good,3
51,4,1.219659082,1.208026905,good,3
52,4,1.114127213,1.2047597209999998,good,2
53,4,1.398261639,0.952527262,good,5
54,4,1.637859236,0.750388921,good,4
55,4,1.329154795,0.981446605,good,3
56,4,1.456417615,0.965628532,good,5
57,4,1.6927564259999999,0.825411688,good,3
58,4,1.449674818,0.9815184840000001,good,4
59,4,1.263607301,0.8231210390000001,Sun,1
60,4,1.4577960859999999,1.2735248270000001,good,6
61,4,1.43281903,1.227637893,good,3
62,4,1.372052221,1.536810768,good,3
63,4,1.20229435,1.03666302,good,3
64,4,1.772754034,0.95663437,good,4
65,4,1.713287768,0.571484721,good,3
66,4,1.685596883,0.771918873,good,6
67,4,1.003113921,1.26527176,good,3
68,4,1.100952069,1.10322049,good,1
69,4,1.6110321840000001,0.7278567020000001,Cold,1
70,4,1.7824903909999998,0.825455918,good,3
71,4,1.402234524,1.075966301,good,4
72,4,0.673099927,2.276928477,good,5
73,4,1.337029557,1.078333276,good,3
74,4,1.435103924,0.971983535,good,1
75,4,1.063141739,1.026158844,good,2
76,4,1.031127251,1.1706158740000001,Cold,3
77,4,1.010204909,1.360675888,good,5
78,4,1.1640098890000001,1.200798418,good,1
79,4,1.6231861769999998,0.847824644,windy,8
80,4,0.9493192659999999,1.208613068,good,3
81,4,1.295140595,1.1087274870000001,Hot,4
82,4,1.229294899,1.9162574159999999,good,2
83,4,1.777983869,0.944656047,good,3
84,4,1.7676628019999998,0.95851053,good,1
85,4,1.515665309,1.2652188340000001,good,3
86,4,1.226321706,0.867614827,good,3
87,4,1.885791236,1.027231596,good,3
88,4,1.735603412,0.7663245040000001,good,4
89,4,1.9640203019999998,0.894921905,Hot,2
90,4,1.1886180990000002,1.284913391,good,3
91,4,1.3247176520000001,1.204805773,good,2
92,4,1.5190323959999998,0.884393271,Mild,3
93,4,2.021706616,0.71505273,Hot,2
94,4,1.829673174,0.6413778720000001,good,2
95,4,1.6985753190000001,0.904422918,Mild,4
96,4,2.014499281,1.1269676640000001,Fog,5
97,4,1.473480278,1.114939272,good,1
98,4,1.251964863,0.86241795,Cold,2
99,4,1.675949601,0.692701598,good,3
100,4,1.608692248,0.9771070820000001,good,1
